"","X","id","load_entry_id","file_descriptor","member_id","loan_amnt","funded_amnt","funded_amnt_inv","term","int_rate","installment","grade","sub_grade","emp_title","emp_length","home_ownership","annual_inc","verification_status","issue_d","loan_status","pymnt_plan","url","desc","purpose","title","zip_code","addr_state","dti","delinq_2yrs","earliest_cr_line","inq_last_6mths","mths_since_last_delinq","mths_since_last_record","open_acc","pub_rec","revol_bal","revol_util","total_acc","initial_list_status","out_prncp","out_prncp_inv","total_pymnt","total_pymnt_inv","total_rec_prncp","total_rec_int","total_rec_late_fee","recoveries","collection_recovery_fee","last_pymnt_d","last_pymnt_amnt","next_pymnt_d","last_credit_pull_d","collections_12_mths_ex_med","mths_since_last_major_derog","policy_code","application_type","annual_inc_joint","dti_joint","verification_status_joint","acc_now_delinq","tot_coll_amt","tot_cur_bal","open_acc_6m","open_il_6m","open_il_12m","open_il_24m","mths_since_rcnt_il","total_bal_il","il_util","open_rv_12m","open_rv_24m","max_bal_bc","all_util","total_rev_hi_lim","inq_fi","total_cu_tl","inq_last_12m","acc_open_past_24mths","avg_cur_bal","bc_open_to_buy","bc_util","chargeoff_within_12_mths","delinq_amnt","mo_sin_old_il_acct","mo_sin_old_rev_tl_op","mo_sin_rcnt_rev_tl_op","mo_sin_rcnt_tl","mort_acc","mths_since_recent_bc","mths_since_recent_bc_dlq","mths_since_recent_inq","mths_since_recent_revol_delinq","num_accts_ever_120_pd","num_actv_bc_tl","num_actv_rev_tl","num_bc_sats","num_bc_tl","num_il_tl","num_op_rev_tl","num_rev_accts","num_rev_tl_bal_gt_0","num_sats","num_tl_120dpd_2m","num_tl_30dpd","num_tl_90g_dpd_24m","num_tl_op_past_12m","pct_tl_nvr_dlq","percent_bc_gt_75","pub_rec_bankruptcies","tax_liens","tot_hi_cred_lim","total_bal_ex_mort","total_bc_limit","total_il_high_credit_limit","revol_bal_joint","sec_app_earliest_cr_line","sec_app_inq_last_6mths","sec_app_mort_acc","sec_app_open_acc","sec_app_revol_util","sec_app_open_il_6m","sec_app_num_rev_accts","sec_app_chargeoff_within_12_mths","sec_app_collections_12_mths_ex_med","sec_app_mths_since_last_major_derog","hardship_flag","hardship_type","hardship_reason","hardship_status","deferral_term","hardship_amount","hardship_start_date","hardship_end_date","payment_plan_start_date","hardship_length","hardship_dpd","hardship_loan_status","orig_projected_additional_accrued_interest","hardship_payoff_balance_amount","hardship_last_payment_amount"
"156351",156351,3737299,-2140141507,"3d",NA,10200,10200,10200,"36 months","14.65%",351.85,"C","C5","Associate Design Director","5 years","RENT",76000,"Verified","Jul-2015","Fully Paid","n",NA,"","debt_consolidation","Debt consolidation","125xx","NY",35.68,0,"Sep-1996",0,30,20,9,1,5298,"73.6%",28,"w",0,0,11495.18,11495.18,10200,1295.18,0,0,0,"Jul-2016",7633.13,"","Nov-2017",0,30,1,"Individual",NA,NA,"",0,91,118212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7200,NA,NA,NA,4,13135,0,100.2,0,0,154,226,12,12,0,18,45,12,45,6,4,6,4,6,16,6,12,6,9,0,0,0,1,75,100,0,1,121988,118212,3300,114788,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA
"432114",432114,3470781,-2140141508,"3c",NA,5600,5600,5600,"36 months","15.61%",195.81,"C","C5","cashier","7 years","MORTGAGE",31000,"Verified","Mar-2014","Fully Paid","n",NA,"","debt_consolidation","Debt consolidation","773xx","TX",19.4,0,"Apr-1999",0,57,NA,12,0,3038,"30.4%",28,"f",0,0,7038.6300001433,7038.63,5600,1438.63,0,0,0,"Apr-2017",85.28,"","Mar-2017",0,57,1,"Individual",NA,NA,"",0,221,28136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000,NA,NA,NA,4,2345,472,63.7,0,0,56,179,20,4,1,20,57,20,57,1,2,4,2,7,7,8,20,4,12,0,0,0,1,96.3,0,0,0,66893,8279,1300,11103,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA
"475638",475638,3945918,-2140141506,"2016Q1",NA,24000,24000,24000,"36 months","6.49%",735.47,"A","A2","Electrical Engineer","2 years","MORTGAGE",58700,"Not Verified","Mar-2016","Fully Paid","n",NA,"","credit_card","Credit card refinancing","236xx","VA",10.3,0,"Dec-2006",0,NA,NA,18,0,10008,"38.6%",19,"w",0,0,25298.4585854547,25298.46,24000,1298.46,0,0,0,"Mar-2017",17896.17,"","Jun-2017",0,NA,1,"Individual",NA,NA,"",0,0,269226,0,NA,1,3,7,54946,97,2,3,4319,79,25900,0,0,4,7,14957,9340,45.1,0,0,56,111,8,7,1,8,NA,8,NA,0,3,4,4,5,10,7,8,4,18,0,0,0,4,100,50,0,0,288612,64954,17000,56516,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA
"177354",177354,3778078,-2140141507,"3d",NA,15000,15000,15000,"60 months","18.55%",385.41,"E","E2","Supervisor","3 years","RENT",68000,"Verified","Jun-2015","Charged Off","n",NA,"","debt_consolidation","Debt consolidation","061xx","CT",17.08,0,"Oct-2005",3,55,NA,17,0,8230,"32.9%",22,"w",0,0,6536.51,6536.51,2959.23,3577.28,0,0,0,"Nov-2016",385.41,"","Nov-2017",0,NA,1,"Individual",NA,NA,"",0,101,29085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25000,NA,NA,NA,13,1711,5881,33.9,0,0,88,115,0,0,0,0,55,5,55,0,1,7,6,9,3,15,19,7,17,0,0,0,7,90.9,16.7,0,0,49357,29085,8900,24357,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA
"729008",729008,4105869,-2140141505,"2016Q2",NA,10000,10000,10000,"36 months","11.99%",332.1,"C","C1","Realtor","4 years","MORTGAGE",45000,"Verified","May-2016","Fully Paid","n",NA,"","debt_consolidation","","923xx","CA",10.54,0,"Mar-2002",0,NA,76,10,1,8502,"55.2%",23,"f",0,0,10203.2500000007,10203.25,10000,203.25,0,0,0,"Jul-2016",9884.47,"","Nov-2017",0,NA,1,"Individual",NA,NA,"",0,0,278195,1,NA,0,3,15,2217,33,2,4,3981,49,15400,1,1,3,8,27820,2751,75.4,0,0,169,133,6,6,2,6,NA,1,NA,0,4,5,4,6,8,8,13,5,10,0,0,0,3,100,75,1,0,292072,10719,11200,6653,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA
"246506",246506,3901610,-2140141507,"3d",NA,15000,15000,15000,"36 months","13.66%",510.2,"C","C3","phlebotomy supervisor","4 years","MORTGAGE",45000,"Not Verified","Jan-2015","Fully Paid","n",NA,"","debt_consolidation","Debt consolidation","750xx","TX",19.2,2,"Sep-1999",0,12,115,18,1,4813,"41.9%",27,"w",0,0,17787.99,17787.99,15000,2787.99,0,0,0,"Nov-2016",8105.57,"","Nov-2016",0,NA,1,"Individual",NA,NA,"",0,0,165770,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11500,NA,NA,NA,4,9751,500,0,0,0,82,184,4,4,1,14,NA,18,12,0,0,1,1,3,17,5,9,1,18,0,0,0,1,92.3,0,1,0,172360,51185,500,42764,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA
"598098",598098,3159753,-2140141509,"3b",NA,20000,20000,20000,"60 months","16.78%",494.69,"C","C5","Sikorsky Aircraft","10+ years","MORTGAGE",81000,"Verified","Aug-2013","Fully Paid","n",NA,"","debt_consolidation","MyLoan","360xx","AL",24.68,0,"Oct-1996",0,NA,NA,12,0,18375,"91%",34,"f",0,0,20279.6850894491,20279.69,20000,279.69,0,0,0,"Sep-2013",20279.76,"","Aug-2017",0,NA,1,"Individual",NA,NA,"",0,0,140076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20200,NA,NA,NA,5,12734,1352,85.1,0,0,161,204,34,2,3,34,NA,12,NA,0,3,4,4,10,16,6,15,4,12,0,0,0,2,100,50,0,0,158876,67630,9100,57189,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA
"34623",34623,4263756,-2140141504,"2016Q3",NA,2500,2500,2500,"36 months","9.49%",80.08,"B","B2","Outpatient Therapist","< 1 year","RENT",36000,"Source Verified","Jul-2016","Fully Paid","n",NA,"","credit_card","Credit card refinancing","275xx","NC",29.6,1,"Aug-2006",0,10,NA,10,0,1812,"8.1%",47,"f",0,0,2636.1517549102,2636.15,2500,136.15,0,0,0,"Apr-2017",1124.86,"","Nov-2017",0,NA,1,"Individual",NA,NA,"",0,0,140735,1,NA,1,3,11,138923,73,1,2,920,43,22400,2,0,2,5,14074,13834,11.3,0,0,118,82,2,2,0,2,10,11,10,0,2,3,4,4,38,7,9,3,10,0,0,0,2,97.9,0,0,0,168692,140735,15600,146292,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA
"717565",717565,4688187,-2140141500,"2017Q3",NA,3600,3600,3600,"36 months","16.02%",126.61,"C","C5","Registered Nurse","9 years","OWN",58000,"Source Verified","Jul-2017","Fully Paid","n",NA,"","other","Other","857xx","AZ",12.81,3,"Sep-2006",1,5,NA,18,0,5112,"81.2%",24,"f",0,0,3601.8883600001,3601.89,3600,1.89,0,0,0,"Jul-2017",3608.3,"","Oct-2017",0,NA,1,"Individual",NA,NA,"",0,0,183138,2,NA,1,3,5,66504,104,1,1,2117,103,6100,0,4,1,4,10174,76,96.2,0,0,129,115,2,2,1,89,NA,6,22,0,2,6,2,2,13,6,10,6,18,0,0,0,2,82.6,100,0,0,191715,71616,3000,63784,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA
"404679",404679,3440137,-2140141508,"3c",NA,5000,5000,5000,"36 months","10.15%",161.69,"B","B2","Residential Manager","10+ years","MORTGAGE",56000,"Not Verified","May-2014","Fully Paid","n",NA,"","home_improvement","Home improvement","109xx","NY",7.59,0,"May-1994",1,NA,NA,13,0,4234,"20.9%",17,"w",0,0,5607.88,5607.88,5000,607.88,0,0,0,"Nov-2015",2859.15,"","Nov-2017",0,NA,1,"Individual",NA,NA,"",0,0,149533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20300,NA,NA,NA,6,12461,2545,27.3,0,0,235,240,2,2,1,2,NA,0,NA,0,2,5,2,3,3,11,13,5,13,0,0,0,5,100,0,0,0,171106,4944,3500,5000,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA
"37662",37662,4278442,-2140141503,"2016Q4",NA,23450,23450,23450,"36 months","30.79%",1005.67,"G","G1","Correctional officer","2 years","RENT",60900,"Verified","Dec-2016","Fully Paid","n",NA,"","credit_card","Credit card refinancing","010xx","MA",34.66,0,"Oct-2010",2,NA,NA,13,0,18441,"68.6%",23,"f",0,0,23851.1278103899,23851.13,23450,401.13,0,0,0,"Jan-2017",23891.24,"","Nov-2017",0,NA,1,"Individual",NA,NA,"",0,0,63631,1,NA,3,8,10,45190,85,1,2,6173,80,26900,22,2,16,10,4895,3198,80,0,0,74,68,6,6,0,6,NA,1,NA,0,5,8,5,6,11,9,12,8,13,0,0,0,4,100,40,0,0,79982,63631,16000,53082,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA
"542855",542855,3100157,-2140141509,"3b",NA,7000,7000,7000,"36 months","6.03%",213.05,"A","A1","Scientist","4 years","RENT",90000,"Source Verified","Dec-2013","Fully Paid","n",NA,"Borrower added on 12/06/13 > Debt consolidation<br>","debt_consolidation","Personal","941xx","CA",9.75,0,"Feb-1998",0,79,NA,12,0,11832,"25.4%",33,"w",0,0,7649.89,7649.89,7000,649.89,0,0,0,"Jun-2016",1471.44,"","Nov-2017",0,79,1,"Individual",NA,NA,"",0,0,113688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46500,NA,NA,NA,6,9474,34668,25.4,0,0,119,190,6,6,0,6,79,13,79,1,3,3,8,14,15,8,17,3,12,0,0,0,4,100,12.5,0,0,154180,113688,46500,107680,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA
"161068",161068,3746424,-2140141507,"3d",NA,16000,16000,16000,"36 months","5.32%",481.84,"A","A1","Technical Project Manager","2 years","MORTGAGE",120000,"Not Verified","Jul-2015","Fully Paid","n",NA,"","credit_card","Credit card refinancing","786xx","TX",21.9,0,"Oct-1996",0,NA,NA,20,0,39575,"71.6%",37,"w",0,0,16982.7667834802,16982.77,16000,982.77,0,0,0,"Dec-2016",9278.06,"","Sep-2017",0,NA,1,"Individual",NA,NA,"",0,0,212918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55300,NA,NA,NA,3,11206,9637,80,0,0,224,206,28,6,2,28,NA,NA,NA,0,8,9,9,20,12,12,23,9,20,0,0,0,1,100,50,0,0,274296,91924,48300,90746,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA
"28828",28828,4244236,-2140141504,"2016Q3",NA,10000,10000,10000,"36 months","14.49%",344.17,"C","C4","Analyst","1 year","MORTGAGE",145000,"Source Verified","Jul-2016","Fully Paid","n",NA,"","small_business","Business","356xx","AL",15.92,0,"Nov-1996",0,NA,113,11,1,55662,"86.4%",33,"w",0,0,10800.1012668954,10800.1,10000,800.1,0,0,0,"Mar-2017",1898.96,"","Apr-2017",0,NA,1,"Individual",NA,NA,"",0,0,302369,0,NA,0,1,22,30530,NA,3,3,11934,86,64400,0,5,3,4,27488,1199,92,0,0,164,236,8,8,10,10,NA,8,NA,0,2,6,2,7,4,8,19,6,11,0,0,0,3,100,100,1,0,331074,86192,15000,39000,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA
"191964",191964,3805303,-2140141507,"3d",NA,14000,14000,14000,"60 months","17.86%",354.45,"D","D5","Vice President Of Merchandising/Design","7 years","RENT",156000,"Verified","May-2015","Fully Paid","n",NA,"","house","Home buying","100xx","NY",1.55,1,"Sep-2003",0,20,35,4,1,1052,"14.4%",7,"w",0,0,17595.8664932152,17595.87,14000,3595.87,0,0,0,"Dec-2016",11243.55,"","Nov-2017",0,20,1,"Individual",NA,NA,"",0,0,9560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7300,NA,NA,NA,1,2390,6248,14.4,0,0,138,140,10,10,0,10,20,2,20,0,2,2,3,6,1,3,6,2,4,0,0,1,1,57.1,0,0,0,23106,9560,7300,15806,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA
"70199",70199,3547076,-2140141507,"3d",NA,8350,8350,8350,"36 months","13.18%",282.07,"C","C3","","n/a","MORTGAGE",35988.72,"Verified","Dec-2015","Fully Paid","n",NA,"","credit_card","Credit card refinancing","891xx","NV",23.67,0,"Aug-1990",0,53,NA,13,0,10257,"57.3%",49,"w",0,0,9375.2644339398,9375.26,8350,1025.26,0,0,0,"Jan-2017",6020.99,"","Oct-2017",0,53,1,"Individual",NA,NA,"",0,0,112996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17900,NA,NA,NA,7,8692,0,100.6,0,0,126,303,6,6,3,37,53,24,53,2,6,10,6,15,24,10,22,10,13,0,0,0,3,95.9,100,0,0,199449,12277,5900,8484,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA
"441008",441008,3480657,-2140141508,"3c",NA,16000,16000,16000,"60 months","9.67%",337.37,"B","B1","Field Service TEch","4 years","RENT",71000,"Verified","Mar-2014","Fully Paid","n",NA,"","debt_consolidation","Debt consolidation","912xx","CA",14.98,0,"Jan-1992",0,NA,NA,13,0,16406,"29%",27,"w",0,0,18714.42,18714.42,16000,2714.42,0,0,0,"Apr-2016",10617.54,"","Nov-2017",0,31,1,"Individual",NA,NA,"",0,24,29735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57501,NA,NA,NA,2,2477,6817,32,0,0,156,266,6,6,1,7,NA,7,NA,0,6,11,11,11,6,11,21,6,12,NA,0,0,2,100,0,0,0,76828,29735,40900,19327,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA
"417389",417389,3454361,-2140141508,"3c",NA,14000,14000,14000,"36 months","7.90%",438.07,"A","A4","Network Engineer","2 years","RENT",42000,"Source Verified","Apr-2014","Fully Paid","n",NA,"","debt_consolidation","Debt consolidation","467xx","IN",21.4,0,"Apr-2005",2,NA,NA,7,0,6688,"22%",16,"w",0,0,15588.45,15588.45,14000,1588.45,0,0,0,"Jun-2016",1836.7,"","Nov-2017",0,NA,1,"Individual",NA,NA,"",0,0,68027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30400,NA,NA,NA,5,9718,17012,28.2,0,0,48,108,19,3,0,29,NA,3,NA,0,2,2,3,4,9,5,7,2,7,0,0,0,2,100,0,0,0,93078,68027,23700,62678,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA
"693520",693520,3258684,-2140141509,"3b",NA,12375,12375,12375,"36 months","17.77%",445.96,"D","D1","Caromont Health","7 years","MORTGAGE",80000,"Source Verified","Jul-2012","Fully Paid","n",NA,"Borrower added on 06/26/12 > placing a swimming pool in back yard<br>","house","home improvements","280xx","NC",18.48,2,"Apr-2005",0,9,NA,4,0,313,"31.3%",16,"f",0,0,16054.5303823286,16054.53,12375,3679.53,0,0,0,"Jul-2015",447.47,"","Nov-2017",0,NA,1,"Individual",NA,NA,"",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,687,31.3,0,0,NA,NA,NA,NA,1,59,NA,NA,9,NA,NA,NA,1,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,0,0,0,NA,20563,1000,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA
"145711",145711,3716277,-2140141507,"3d",NA,22000,22000,22000,"36 months","7.89%",688.29,"A","A5","Eligibility Processor","10+ years","MORTGAGE",80000,"Not Verified","Jul-2015","Fully Paid","n",NA,"","debt_consolidation","Debt consolidation","206xx","MD",11.81,0,"Oct-1989",1,47,NA,20,0,7162,"14.8%",38,"w",0,0,24432.3229416764,24432.32,22000,2432.32,0,0,0,"Jul-2017",8620.94,"","Jul-2017",0,57,1,"Individual",NA,NA,"",0,0,272949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48500,NA,NA,NA,7,13647,6020,14,0,0,78,309,2,2,3,11,78,2,78,1,2,6,3,12,5,15,28,6,20,0,0,0,5,89.2,0,0,0,360166,29360,7000,24160,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA
"741406",741406,4146385,-2140141505,"2016Q2",NA,12000,12000,12000,"36 months","9.16%",382.5,"B","B2","Internship Coordinator","10+ years","MORTGAGE",60000,"Source Verified","Apr-2016","Fully Paid","n",NA,"","credit_card","Credit card refinancing","493xx","MI",34.86,0,"Oct-1999",0,43,NA,13,0,13439,"41.6%",38,"w",0,0,12737.9490267141,12737.95,12000,737.95,0,0,0,"Jan-2017",9690.16,"","Nov-2017",0,NA,1,"Individual",NA,NA,"",0,0,228901,3,NA,3,3,5,136513,92,4,5,3181,73,32300,1,4,4,10,17608,12979,33.8,0,0,172,198,2,2,3,9,NA,8,NA,0,3,6,3,11,18,7,16,6,13,0,0,0,7,92.1,0,0,0,258325,149952,19600,140721,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA
"206435",206435,3831683,-2140141507,"3d",NA,5000,5000,5000,"36 months","13.33%",169.27,"C","C3","machine operator","3 years","RENT",26000,"Not Verified","Apr-2015","Fully Paid","n",NA,"","debt_consolidation","Debt consolidation","104xx","NY",4.71,0,"Feb-2012",1,NA,NA,5,0,3823,"31.6%",9,"f",0,0,5584.6889202909,5584.69,5000,584.69,0,0,0,"May-2016",53.12,"","Sep-2017",0,NA,1,"Individual",NA,NA,"",0,0,3823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12100,NA,NA,NA,2,765,5277,42,0,0,NA,38,16,16,0,16,NA,1,NA,0,3,3,4,6,0,5,9,3,5,0,0,0,0,100,25,0,0,12100,3823,9100,0,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA
"670059",670059,3235191,-2140141509,"3b",NA,10075,10075,10050,"36 months","21.00%",379.58,"E","E2","Nugent & Sack, DDS","10+ years","RENT",45000,"Verified","Nov-2012","Fully Paid","n",NA,"","small_business","Business","605xx","IL",14.27,0,"Mar-1999",1,57,NA,5,0,6375,"96.6%",10,"f",0,0,13664.6967823461,13630.79,10075,3589.7,0,0,0,"Nov-2015",379.39,"","Nov-2015",0,67,1,"Individual",NA,NA,"",0,0,17279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6600,NA,NA,NA,1,3456,0,101.9,0,0,133,166,49,15,0,49,57,1,57,0,3,4,3,7,2,4,8,4,5,0,0,0,0,90,100,0,0,20493,17279,3600,13893,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA
"399613",399613,3434478,-2140141508,"3c",NA,4000,4000,4000,"36 months","14.99%",138.65,"C","C5","Complaints Specialist","10+ years","MORTGAGE",51600,"Not Verified","May-2014","Fully Paid","n",NA,"","debt_consolidation","Debt consolidation","640xx","MO",21.02,0,"Mar-2009",1,NA,117,13,1,4425,"34.6%",14,"w",0,0,4986.7175491244,4986.72,4000,986.72,0,0,0,"Mar-2017",411.27,"","Oct-2017",0,NA,1,"Individual",NA,NA,"",0,0,138281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12800,NA,NA,NA,6,11523,2505,49.9,0,0,62,55,2,2,1,2,NA,2,NA,0,2,6,2,2,4,9,9,6,13,0,0,0,4,100,50,1,0,161894,28318,5000,32994,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA
"62283",62283,3527851,-2140141507,"3d",NA,8500,8500,8500,"36 months","9.17%",270.98,"B","B2","Sale Prep Lead","10+ years","OWN",48800,"Verified","Dec-2015","Fully Paid","n",NA,"","debt_consolidation","Debt consolidation","977xx","OR",0.59,2,"Feb-1996",0,12,67,5,1,24,"0.4%",14,"w",0,0,9406.8881036585,9406.89,8500,906.89,0,0,0,"May-2017",5079.87,"","Nov-2017",0,65,1,"Individual",NA,NA,"",0,0,24,0,NA,0,0,50,0,NA,0,0,10,0,6300,0,2,0,0,5,5776,0.4,0,0,60,238,31,31,0,31,12,14,12,3,3,3,4,9,2,5,11,3,5,0,0,0,0,57.1,0,0,0,6300,24,5800,0,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA
"165024",165024,3754337,-2140141507,"3d",NA,4000,4000,4000,"36 months","10.99%",130.94,"B","B4","Shop foreman","8 years","MORTGAGE",80000,"Not Verified","Jun-2015","Charged Off","n",NA,"","credit_card","Credit card refinancing","774xx","TX",9.81,0,"Mar-2011",0,NA,NA,6,0,3536,"88.4%",10,"f",0,0,2744.86,2744.86,2172.78,572.08,0,0,0,"Mar-2017",130.94,"","Sep-2017",0,NA,1,"Individual",NA,NA,"",0,0,189170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4000,NA,NA,NA,2,31528,464,88.4,0,0,31,51,10,10,1,10,NA,20,NA,0,4,4,4,7,2,4,7,4,6,0,0,0,2,100,100,0,0,202726,19991,4000,19901,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA
"135278",135278,3694482,-2140141507,"3d",NA,10000,10000,10000,"36 months","9.99%",322.63,"B","B3","Client Manager","10+ years","MORTGAGE",45000,"Verified","Aug-2015","Fully Paid","n",NA,"","major_purchase","Major purchase","841xx","UT",26,1,"Dec-1992",0,16,NA,20,0,4294,"5.3%",24,"f",0,0,11061.9100000155,11061.91,10000,1061.91,0,0,0,"Nov-2016",6556.19,"","Dec-2016",0,91,1,"Individual",NA,NA,"",0,0,44585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81000,NA,NA,NA,7,2477,50785,7.5,0,0,103,272,18,3,0,18,16,3,16,1,3,5,6,9,3,18,21,5,20,0,0,0,2,91.3,0,0,0,122478,44585,54900,41478,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA
"239825",239825,3890400,-2140141507,"3d",NA,4000,4000,4000,"36 months","12.69%",134.18,"C","C2","Materials Planner","< 1 year","RENT",49000,"Verified","Feb-2015","Fully Paid","n",NA,"","debt_consolidation","Debt consolidation","060xx","CT",20.55,0,"Sep-2010",2,NA,NA,15,0,6918,"44.1%",18,"w",0,0,4231.97,4231.97,4000,231.97,0,0,0,"Aug-2015",3568.12,"","Jan-2017",0,NA,1,"Individual",NA,NA,"",0,0,50624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15700,NA,NA,NA,10,3375,7886,46.4,0,0,53,45,2,2,0,2,NA,2,NA,0,4,5,5,5,10,7,8,5,15,0,0,0,5,100,20,0,0,60694,50624,14700,44994,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA
"699730",699730,3264894,-2140141509,"3b",NA,21000,21000,20725,"36 months","13.67%",714.37,"B","B5","City National Bank","3 years","RENT",2e+05,"Verified","May-2012","Fully Paid","n",NA,"Borrower added on 05/13/12 > I am looking to refinance a personal line of credit that was closed without warning by a large bank during the credit crunch. I work in the finance industry with a stable, significant income and reliable payment patterns on all my personal debt and monthly financial obligations.<br>","debt_consolidation","Debt Consolidation Loan","902xx","CA",13.74,0,"Jul-1997",0,34,NA,17,0,35775,"64.2%",40,"f",0,0,24800.6803293628,24475.91,21000,3800.68,0,0,0,"Mar-2014",10517.14,"","Nov-2017",0,NA,1,"Individual",NA,NA,"",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,12267,64.5,0,0,NA,NA,NA,NA,0,4,NA,23,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.6,0,0,NA,50835,34600,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA
